StartDate,search,queries_1,queries_2,queries_3,news freq,age,gender,politics,education
2022-03-14 6:34:00,Yes,Who shot John F. Kennedy?,Did we really land on the moon?,Was the government involved in the 911 attacks?,4,40-49,Male,Moderate/centrist,Bachelor's degree
2022-03-14 7:35:44,Yes,Wuhan lab leak theory,Building 7 mystery,Missing funds from 911,7,30-39,Male,Lean left,Bachelor's degree
2022-03-14 8:26:15,Yes,Bohemian Grove,Human-ET contact/UFOs,Pizzagate,2,30-39,Male,Hard left,High school
2022-03-14 19:07:57,No,UFO,Occult,Bigfoot,2,50-59,Male,Moderate/centrist,High school
2022-03-14 20:16:11,Yes,mystery,government secrets,controlling the world,9,18-29,Male,Lean right,Bachelor's degree
2022-03-15 4:46:14,Yes,911 conspiracy,chem trails,non vacciners,1,50-59,Female,Lean left,Associate's degree
2022-03-15 7:08:46,No,paul mccartney switch,walt disney frozen,kennedy assassination cia,0,40-49,Male,Hard left,Bachelor's degree
2022-03-15 8:24:53,Yes,aliens,con trails,lizard people,3,30-39,Male,Prefer not to say,High school
2022-03-15 14:48:16,Yes,russiagate,vaccine,great reset,9,30-39,Male,Moderate/centrist,Associate's degree
2022-03-15 16:05:51,Yes,do aliens exist,illuminati,secret government,10,30-39,Male,Lean right,Bachelor's degree
2022-03-15 20:53:46,Yes,illuminati ,Jefferey epstein,edward snowden,6,30-39,Female,Lean left,High school
2022-03-16 8:06:40,No,Trumps ,Clinton ,Global warming ,6,60+,Male,Lean right,Bachelor's degree
2022-03-16 10:52:59,Yes,comtrails,one world government,space travel,1,30-39,Female,Moderate/centrist,Associate's degree
2022-03-16 13:12:31,Yes,Flat Earth,JFK Alive,Qanon beliefs,4,40-49,Female,Lean left,Associate's degree
2022-03-16 19:26:25,Yes,real conspiracy theories ,conspiracy theories that ended up being true,debunked conspiracies,7,30-39,Male,Lean left,High school
2022-03-16 21:47:19,Yes,covid origins,2020 election fraud,9/11 inside job,9,30-39,Male,Lean right,Associate's degree
2022-03-17 8:13:05,Yes,September 11th Conspiracy ,Fema Tents,Aliens and UFOS,9,18-29,Male,Lean right,Associate's degree
2022-03-17 20:18:44,Yes,election fraud,simulation theory,kennedy grassy knoll,10,30-39,Female,Hard right,"Graduate degree (M.D., J.D., PhD, etc.)"
2022-03-18 9:40:26,Yes,ukraine biolabs,bilderberg,jeffrey epstein,7,30-39,Male,Lean left,High school
2022-03-18 10:39:01,Yes,Lizard people,Covid made in a lab,Flat earth,5,30-39,Male,Hard left,Associate's degree
2022-03-18 12:41:51,Yes,landing on the moon,princess Diana's death,JFK assignation,2,40-49,Male,Lean left,Associate's degree
2022-03-18 12:43:21,No,q anon,flat earth,stolen election,0,40-49,Male,Hard left,"Graduate degree (M.D., J.D., PhD, etc.)"
2022-03-18 12:42:03,No,vaccine problems,alien coverup,fake moon landing,0,30-39,Female,Moderate/centrist,Bachelor's degree
2022-03-18 12:44:59,Yes,if the moon landing is real,Roswell crash and cover up with aliens,satanic panic,1,30-39,Female,Moderate/centrist,Associate's degree
2022-03-18 12:47:02,No,COVID hoax ,fake moon landing,flat earth,1,40-49,Female,Lean left,Bachelor's degree
2022-03-18 13:27:06,No,9/11 inside job,illuminati,hidden aliens,0,30-39,Female,Lean right,Bachelor's degree
2022-03-18 13:29:08,Yes,Election stolen from Trump,COVID was planned,Ukraine connection Biden,6,40-49,Male,Lean right,"Graduate degree (M.D., J.D., PhD, etc.)"
2022-03-18 14:17:03,Yes,Covid19,George Soros,JFK,7,40-49,Male,Lean right,Bachelor's degree
2022-03-18 14:21:12,Yes,michelle obama male,hydroxychloroquine,bill gates vaccine,4,40-49,Female,Lean left,High school
2022-03-18 14:53:51,No,the world is ending soon.,there no racism,everyone is hateful,2,60+,Female,Lean left,High school
2022-03-18 5:14:44,Yes,JFK assination,UFOs,Moon Landing conspiracy,2,50-59,Female,Lean left,"Graduate degree (M.D., J.D., PhD, etc.)"
2022-03-18 15:21:18,Yes,Princess Diana;s death,Moonlanding,Roswell crash & cover up,2,50-59,Female,Lean left,High school
2022-03-18 15:56:20,No,alien,deep state,rogue,0,60+,Male,Prefer not to say,Bachelor's degree
